id,overall_quality_of_services_3_01,overall_quality_of_services_3_02,overall_appearance_of_durham_3_03,overall_management_of_develo_3_04,overall_image_of_durham_3_05,overall_quality_of_life_in_d_3_06,overall_quality_of_life_in_y_3_07,overall_value_you_receive_fo_3_08,do_your_monthly_housing_cost_12_01,are_you_able_to_find_housing_12_02,do_you_have_major_home_repai_12_03,ease_of_travel_by_walking_18_01,ease_of_travel_by_biking_18_02,ease_of_travel_by_bus_godu_18_03,quality_of_downtown_parking_18_04,the_ability_in_your_neighbo_18_05,as_a_place_to_live_24_01,as_a_place_to_work_24_02,as_a_place_to_play_24_03,as_a_place_to_raise_childre_24_04,as_a_place_to_educate_child_24_05,as_a_place_to_retire_24_06,as_a_place_to_visit_24_07,as_a_place_to_start_a_busin_24_08,as_a_community_that_is_movi_24_09,have_you_or_someone_in_your_househol_26,approximately_how_many_years_have_yo_28,what_is_your_age_29,what_is_your_gender_30,do_you_own_or_rent_your_current_resi_31,asianpacific_islander_32_01,white_32_02,native_americaninuit_32_03,blackafrican_american_32_04,other_32_05,please_define_other_32_5,are_you_of_hispanic_latino_or_spa_33,primary_language,please_define_other_34_3,how_might_we_better_provide_service_34a,would_you_say_your_total_annual_hous_35,city,state,zip,pac_zone,inside_city_of_durham,block_lon,block_lat
200,4,4,3,5,4,4,5,4,2,1,2,4,4,NA,3,5,4,5,4,4,3,3,4,5,4,2,20,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27703,1,Y,-78795000,35970000
201,3,3,3,3,3,3,4,2,2,NA,2,3,3,NA,2,4,4,3,3,3,3,3,2,3,3,2,40,4,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27703,NA,N,-78775000,35954000
202,4,4,4,4,4,4,3,4,2,1,2,3,NA,NA,4,3,4,4,4,4,4,4,4,4,4,2,61,5,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27701,1,Y,-78878000,35996000
203,4,4,3,4,4,4,4,4,2,1,2,3,3,3,4,4,3,5,3,4,5,3,2,3,3,2,1,1,1,2,1,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27703,NA,N,-78826000,35967000
204,3,2,3,3,3,3,3,3,2,1,1,3,3,NA,3,3,4,4,4,3,2,3,2,3,3,2,14,2,1,1,1,NA,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27713,4,Y,-78911000,35932000
205,2,3,2,3,2,2,3,2,1,1,1,3,4,2,3,4,2,2,3,2,3,1,3,3,2,2,4,2,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27704,2,Y,-78875000,36064000
206,4,4,5,4,5,5,5,NA,2,1,2,2,2,NA,4,5,4,4,4,NA,NA,NA,4,NA,5,2,8,1,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27701,2,Y,-78905000,36011000
207,3,3,4,3,4,4,4,3,2,1,1,3,2,NA,4,4,4,4,4,4,3,3,4,4,4,2,4,1,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27701,2,Y,-78908000,36011000
208,2,2,3,1,4,3,4,NA,1,1,1,3,2,NA,3,3,4,3,4,4,NA,4,4,NA,2,1,5,1,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27705,2,Y,-78930000,36022000
209,4,4,4,3,3,4,5,3,1,1,2,4,4,NA,NA,5,4,4,4,NA,NA,NA,3,2,3,2,25,2,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27713,4,Y,-78924000,35939000
210,4,3,4,3,3,4,4,2,2,1,2,NA,NA,NA,NA,5,4,5,5,4,4,3,5,4,3,2,20,2,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27712,NA,N,-78868000,36101000
211,4,4,4,4,4,4,4,3,1,2,2,NA,NA,NA,NA,NA,4,4,4,4,4,3,3,4,4,2,32,3,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27703,NA,N,-78817000,35990000
212,3,3,3,2,2,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,2,2,2,2,2,2,2,18,5,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27713,3,Y,-78932000,35921000
213,4,4,4,4,4,4,4,4,1,1,1,3,NA,NA,2,NA,4,NA,4,4,4,4,4,3,4,2,50,5,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27712,NA,N,-78960000,36086000
214,4,4,4,4,4,4,4,3,2,2,2,3,3,3,3,3,4,4,4,4,4,3,5,3,3,2,40,5,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27707,3,Y,-78963000,35951000
215,4,4,5,2,4,4,4,2,2,1,2,4,3,NA,4,4,4,4,4,3,2,4,4,4,4,2,5,2,2,2,NA,NA,NA,4,NA,NA,1,English,NA,NA,3,Durham,NC,27701,2,Y,-78893000,36004000
216,3,3,3,3,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27703,1,Y,-78831000,35997000
217,4,3,4,3,4,4,4,3,2,1,2,3,3,2,2,2,4,4,4,4,4,4,4,4,4,2,16,3,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27713,4,Y,-78907000,35927000
218,4,4,4,3,4,4,4,2,2,2,2,5,4,NA,2,5,4,4,4,4,4,4,4,4,4,2,39,3,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27704,2,Y,-78911000,36042000
219,4,4,4,4,4,4,4,4,2,1,2,1,4,2,5,2,4,4,3,4,4,NA,4,4,4,2,1,1,1,2,NA,2,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27713,4,Y,-78888000,35943000
220,4,4,3,3,3,4,3,4,2,1,2,NA,NA,NA,4,5,4,NA,4,3,3,2,4,4,4,2,2,1,1,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27713,4,Y,-78931000,35907000
221,1,1,1,1,5,4,4,1,1,2,1,1,2,2,2,5,1,1,1,4,4,1,1,1,1,2,7,1,1,1,NA,NA,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27713,3,Y,-78936000,35932000
222,3,3,3,3,3,3,3,2,2,1,1,4,4,4,3,4,4,4,3,4,4,3,4,4,3,2,52,4,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27707,3,Y,-78942000,35954000
223,4,4,4,1,5,4,5,3,1,1,2,5,4,NA,4,4,5,5,5,5,5,5,5,4,4,2,15,2,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27713,4,Y,-78927000,35906000
224,3,3,4,4,3,3,3,3,1,2,2,2,2,5,3,2,2,5,2,2,2,2,2,2,2,2,48,3,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27704,2,Y,-78881000,36039000
225,4,3,3,2,3,4,4,NA,2,1,2,4,5,NA,5,5,4,4,3,3,3,4,4,4,4,2,3,1,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27705,2,Y,-78918000,36014000
226,2,2,2,2,1,1,5,3,1,1,1,4,4,4,4,4,1,2,1,1,4,1,1,1,1,1,40,3,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27707,4,Y,-78912000,35955000
227,4,3,2,1,2,3,4,3,2,1,2,3,3,3,2,4,4,4,2,3,3,2,4,4,4,2,32,3,2,1,1,NA,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27712,NA,N,-78947000,36086000
228,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,4,NA,3,NA,4,4,3,3,3,2,60,5,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27704,NA,N,-78867000,36047000
229,3,3,3,2,4,4,4,4,2,1,1,1,1,1,3,1,4,4,4,4,4,3,4,NA,3,2,6,NA,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27704,2,Y,-78867000,36034000
230,4,4,4,1,1,3,4,3,2,NA,2,NA,NA,NA,2,4,4,4,4,3,4,1,4,2,1,2,20,2,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27701,2,Y,-78891000,36009000
231,3,3,4,3,4,4,5,3,2,1,2,3,NA,NA,2,2,4,4,NA,NA,NA,NA,4,NA,4,2,0,1,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27703,1,Y,-78781000,35923000
232,3,3,1,2,2,4,4,3,NA,NA,1,2,1,NA,4,5,4,4,4,NA,NA,3,4,4,3,2,30,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27703,1,Y,-78812000,35953000
233,3,NA,2,3,3,3,3,3,2,1,2,3,2,3,3,NA,4,4,4,4,3,NA,NA,NA,5,2,17,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27701,1,Y,-78894000,35996000
234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27703,1,Y,-78783000,35927000
235,2,3,4,3,3,3,3,2,2,1,2,4,4,4,1,4,4,4,4,3,3,3,4,2,3,2,35,3,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27701,2,Y,-78900000,36013000
236,NA,NA,2,NA,3,2,2,1,1,NA,1,3,3,NA,NA,3,2,NA,NA,NA,NA,2,NA,NA,NA,2,65,5,1,2,NA,2,NA,NA,NA,NA,1,English,NA,NA,1,Durham,NC,27703,NA,N,-78757000,35941000
237,2,3,2,3,2,2,4,1,2,1,2,5,3,2,4,4,4,4,4,2,2,4,4,3,3,2,14,2,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27701,2,Y,-78890000,36006000
238,5,4,4,5,4,5,5,5,2,1,2,5,5,4,3,4,5,5,5,5,5,5,5,5,5,2,NA,4,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27713,4,Y,-78927000,35905000
239,3,3,3,3,1,3,5,2,2,1,2,3,3,3,3,3,3,3,3,3,2,3,3,3,1,2,30,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Bahama,NC,27503,NA,N,-78955000,36160000
240,4,4,4,4,4,4,5,4,2,1,1,4,4,NA,2,5,4,4,4,4,3,4,4,4,4,2,16,2,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27703,4,Y,-78880000,35948000
241,2,2,2,3,2,1,1,1,2,NA,NA,NA,NA,NA,1,2,1,3,1,1,2,1,1,1,2,2,40,2,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27703,NA,N,-78764000,35979000
242,2,2,4,2,4,4,5,3,1,1,1,2,2,2,2,2,4,4,3,4,4,4,3,2,3,1,NA,4,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27703,NA,N,-78833000,35969000
243,2,NA,1,1,4,4,4,1,2,1,1,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA,NA,NA,3,2,14,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27701,2,Y,-78890000,36006000
244,4,4,2,1,1,3,4,4,2,1,2,4,NA,NA,1,5,2,4,1,1,1,3,4,3,1,2,35,4,2,1,NA,NA,NA,NA,5,POLISH,2,English,NA,NA,4,Durham,NC,27713,3,Y,-78940000,35921000
245,3,2,1,1,1,1,4,4,2,1,2,3,NA,3,2,4,4,NA,3,4,2,4,4,NA,3,2,70,5,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Rougemont,NC,27572,NA,N,-78884000,36225000
246,3,3,4,4,4,5,5,5,2,1,1,4,NA,NA,2,4,5,4,5,5,4,5,5,3,3,2,39,5,2,2,NA,2,NA,NA,NA,NA,1,English,NA,NA,1,Durham,NC,27701,3,Y,-78913000,35994000
247,2,2,3,2,3,3,5,2,NA,NA,NA,3,3,NA,1,5,3,2,3,NA,NA,3,3,2,3,2,6,4,1,2,1,NA,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27703,1,Y,-78782000,35937000
248,4,4,3,2,4,5,5,NA,2,1,2,4,4,2,3,5,5,5,5,4,4,3,5,5,4,2,2,1,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27713,3,Y,-78942000,35909000
249,4,4,4,4,2,2,4,2,2,1,2,NA,2,2,4,4,4,4,4,2,2,3,3,3,4,2,7,2,1,1,NA,2,3,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27703,4,Y,-78817000,35920000
250,4,4,4,4,3,4,5,3,2,1,2,4,4,NA,3,4,4,4,3,NA,NA,4,4,3,3,2,6,5,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27703,1,Y,-78784000,35933000
251,3,3,3,4,5,5,4,3,2,1,2,2,2,4,1,4,5,5,5,4,4,4,5,5,4,1,53,3,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27703,1,Y,-78811000,35979000
252,4,4,2,NA,1,4,5,2,2,1,2,NA,NA,NA,3,5,4,5,2,3,1,3,2,NA,2,2,64,4,2,2,NA,2,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27703,1,Y,-78813000,35978000
253,4,4,4,2,4,4,4,NA,2,1,2,3,NA,NA,4,3,4,4,4,4,NA,2,5,4,4,2,5,1,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27704,2,Y,-78907000,36031000
254,NA,NA,4,3,4,4,5,3,2,1,1,4,4,4,4,5,5,5,5,5,4,5,5,5,5,2,48,3,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Bahama,NC,27503,NA,N,-78906000,36156000
255,3,3,1,2,1,3,3,3,2,NA,2,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,2,64,4,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27703,1,Y,-78824000,35949000
256,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,NA,NA,NA,NA,NA,1,2,66,5,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27703,NA,N,-78824000,35977000
257,3,3,3,4,3,3,4,3,2,1,2,NA,NA,NA,3,4,4,4,4,4,3,4,4,4,3,2,51,5,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27713,4,Y,-78909000,35930000
258,4,NA,4,4,5,5,5,4,2,1,2,4,4,4,4,4,5,5,5,NA,NA,NA,4,NA,5,2,16,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27701,2,Y,-78909000,36017000
259,3,3,3,3,3,3,3,3,2,1,1,3,NA,NA,3,3,3,4,3,3,3,3,4,3,3,2,15,1,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27703,1,Y,-78827000,35994000
260,3,3,2,2,3,2,3,3,1,1,2,NA,NA,NA,2,4,3,3,2,3,3,2,3,3,3,2,39,3,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27703,1,Y,-78830000,35956000
261,4,4,5,4,4,3,4,3,1,1,1,3,NA,NA,2,3,5,5,4,4,4,3,5,5,4,2,25,4,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,1,Durham,NC,27705,2,Y,-78975000,36044000
262,3,3,3,3,3,4,3,3,1,NA,2,NA,NA,NA,3,4,4,4,3,4,3,2,4,4,4,2,10,2,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27703,1,Y,-78817000,35949000
263,4,4,4,2,3,4,5,4,2,1,1,4,2,4,4,NA,5,5,5,NA,NA,4,4,4,4,2,25,2,2,1,NA,2,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27701,2,Y,-78896000,36008000
264,3,4,3,4,3,4,4,2,1,1,1,2,2,NA,4,3,4,4,2,4,3,1,2,3,4,2,10,1,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27703,1,Y,NA,NA
265,3,4,2,3,2,3,4,3,2,1,2,3,NA,NA,2,4,5,3,4,4,4,5,5,3,4,2,20,5,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Bahama,NC,27503,NA,N,-78919000,36142000
266,2,3,2,2,3,2,1,1,2,2,1,2,NA,NA,2,1,4,5,3,3,2,3,4,4,5,2,48,3,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27703,1,Y,-78875000,35981000
267,2,2,5,2,5,3,4,3,2,1,2,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,2,22,3,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27703,1,Y,-78794000,35972000
268,4,3,3,2,1,3,4,1,2,2,1,4,NA,4,3,4,5,5,4,2,1,4,4,4,1,2,5,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27713,4,Y,-78905000,35896000
269,5,2,2,2,1,4,4,4,2,NA,1,1,NA,NA,4,2,4,4,5,4,4,4,5,3,3,2,30,3,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27703,NA,N,-78810000,35993000
270,4,4,3,3,4,4,5,4,2,1,2,4,4,NA,4,4,5,5,5,5,NA,4,5,4,5,2,20,3,1,1,NA,2,NA,NA,NA,NA,1,Spanish,NA,NA,4,Durham,NC,27701,2,Y,-78895000,36005000
271,4,4,4,4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,3,5,3,3,NA,2,NA,5,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27713,4,Y,-78922000,35922000
272,3,NA,4,2,3,4,4,3,1,1,2,3,NA,NA,NA,4,4,4,4,4,4,4,3,4,3,2,17,2,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27703,1,Y,-78831000,35960000
273,3,3,3,3,3,3,3,1,1,2,1,2,4,4,2,3,2,4,2,2,2,5,2,4,4,2,30,2,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27713,3,Y,-78933000,35928000
274,2,2,4,2,4,3,4,4,2,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,1,20,3,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27704,2,Y,-78856000,36050000
275,5,5,5,2,4,5,5,5,2,1,2,4,NA,NA,4,5,5,5,5,5,4,5,5,5,5,2,13,1,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27712,NA,N,-78952000,36080000
276,5,NA,3,2,1,2,1,NA,1,2,2,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,2,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27703,4,Y,-78844000,35936000
277,2,NA,4,2,2,3,3,2,2,2,1,2,NA,2,2,1,4,2,4,3,2,2,4,3,3,2,35,3,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27703,1,Y,NA,NA
278,4,NA,1,3,3,3,4,1,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,3,3,NA,3,2,12,5,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27703,1,Y,-78806000,35984000
279,3,NA,2,3,2,2,2,1,1,1,NA,1,NA,NA,3,3,2,2,2,1,1,1,1,4,2,2,33,1,2,1,NA,NA,NA,4,5,Mexican,1,English,NA,NA,2,Durham,NC,27703,1,Y,-78812000,36004000
280,1,1,1,1,1,1,1,1,NA,NA,NA,3,3,NA,1,NA,1,1,1,1,1,1,1,1,1,2,20,NA,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27704,NA,N,-78797000,36026000
281,4,4,3,2,3,3,3,3,2,NA,2,2,3,NA,NA,2,4,4,3,4,3,4,4,3,3,2,58,5,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27703,1,Y,-78843000,35992000
282,4,4,4,3,3,4,4,3,1,1,1,4,NA,2,3,5,4,4,3,NA,NA,NA,4,3,4,2,10,1,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,NA,Durham,NC,27705,3,Y,-78953000,36004000
283,4,4,3,4,2,2,2,2,2,NA,1,3,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,3,2,2,NA,NA,NA,NA,5,Hispanic,1,English,NA,NA,2,Durham,NC,27704,2,Y,-78915000,36025000
284,5,5,4,5,2,4,5,5,2,1,2,2,2,4,5,3,5,5,4,5,4,4,4,4,4,2,23,3,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27703,1,Y,-78807000,35997000
285,3,3,4,3,4,4,4,2,2,1,1,4,4,4,4,4,4,3,4,4,4,4,4,3,4,2,54,3,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27704,2,Y,-78904000,36023000
286,4,4,5,4,5,5,5,5,2,1,2,4,4,NA,4,5,4,4,4,NA,NA,NA,4,NA,4,2,1,1,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27713,4,Y,-78911000,35952000
287,4,4,4,4,5,5,5,5,2,1,2,3,3,3,2,5,5,5,5,5,5,5,5,5,5,2,14,1,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27713,3,Y,-78945000,35883000
288,3,3,4,4,3,4,4,3,2,1,2,NA,NA,NA,2,4,3,4,2,3,2,3,4,2,1,2,54,3,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27703,1,Y,-78811000,35972000
289,NA,NA,3,2,4,4,5,3,2,1,1,4,2,NA,2,4,4,NA,4,4,2,3,4,NA,3,2,11,2,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27712,NA,N,-78961000,36070000
290,3,4,4,3,2,2,2,2,NA,NA,NA,3,3,3,3,3,2,4,3,2,3,1,1,2,2,2,NA,5,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27704,NA,N,-78843000,36045000
291,4,4,2,3,3,4,5,4,2,1,2,NA,NA,NA,NA,5,4,4,4,4,4,4,4,4,4,2,51,3,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27705,2,Y,-78963000,36041000
292,4,3,4,4,5,5,4,4,2,1,1,2,5,2,4,5,5,5,4,3,3,3,5,5,5,2,5,1,1,2,NA,2,NA,NA,NA,NA,1,English,NA,NA,3,Durham,NC,27713,NA,N,-78918000,35879000
293,3,3,3,NA,2,4,4,3,2,1,2,NA,NA,NA,2,4,4,4,3,NA,1,3,4,NA,4,2,16,2,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27713,4,Y,-78888000,35942000
294,3,3,3,2,2,4,1,NA,1,1,2,2,NA,NA,2,1,3,4,3,4,4,3,2,3,4,2,5,NA,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27705,2,Y,-78914000,36025000
295,4,4,2,2,4,4,4,2,2,1,2,NA,NA,NA,2,4,4,4,4,NA,NA,NA,4,NA,3,2,14,1,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27704,1,Y,-78825000,36022000
296,3,3,1,2,1,NA,3,1,2,2,2,NA,NA,NA,NA,NA,3,3,2,3,3,2,NA,NA,NA,2,78,5,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,NA,Durham,NC,27704,2,Y,-78886000,36025000
297,1,1,1,5,1,3,5,3,2,NA,2,3,3,3,3,NA,3,3,3,3,2,1,1,1,1,2,39,3,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Rougemont,NC,27572,NA,N,-78848000,36190000
298,3,3,4,4,4,4,3,3,2,1,2,3,2,3,3,4,4,4,4,4,4,4,5,4,4,2,35,4,1,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27705,2,Y,-78919000,36044000
299,4,4,5,4,5,5,5,4,2,1,2,4,NA,NA,3,5,5,5,5,5,5,5,5,5,5,2,30,5,2,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,3,Durham,NC,27713,3,Y,-78935000,35926000
300,3,3,2,2,2,4,4,4,2,1,2,4,3,1,1,5,3,4,1,3,1,1,2,3,3,2,30,3,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27703,1,Y,-78819000,35974000
301,5,5,4,5,4,5,5,4,2,1,1,3,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30,5,1,1,1,NA,NA,NA,NA,NA,2,Other,ARABIC,NA,1,Durham,NC,27705,2,Y,-78979000,36040000
302,4,4,4,2,4,4,3,3,2,2,2,4,NA,NA,3,4,4,4,5,4,4,5,5,5,5,2,25,1,2,2,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27707,3,Y,-78931000,35978000
303,5,5,4,5,4,5,5,5,2,1,1,4,4,3,5,5,5,5,5,5,3,2,5,5,5,2,35,4,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,4,Durham,NC,27701,2,Y,-78905000,36012000
304,NA,5,3,2,2,4,4,1,1,1,1,4,3,3,1,4,4,4,3,4,2,2,4,3,3,2,46,3,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27704,NA,N,-78798000,36052000
305,5,5,5,5,5,5,5,5,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,25,5,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,2,Durham,NC,27707,4,Y,-78915000,35952000
306,5,5,5,5,5,5,5,3,2,1,2,4,3,3,3,2,5,5,3,4,4,5,5,5,5,2,12,5,2,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,1,Durham,NC,27707,NA,N,-79000000,35944000
307,4,4,5,5,4,4,5,3,1,1,1,4,NA,NA,3,5,5,5,4,5,3,3,4,4,5,2,5,1,2,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27713,3,Y,-78940000,35935000
308,4,4,4,4,4,5,5,3,2,1,2,2,2,NA,2,4,5,NA,4,5,NA,NA,4,NA,4,2,4,1,1,2,NA,2,NA,NA,NA,NA,2,English,NA,NA,2,Durham,NC,27705,3,Y,-78963000,35978000
309,4,4,4,3,3,3,4,3,2,NA,2,3,3,NA,2,2,4,4,4,4,4,4,4,4,4,2,71,5,1,1,NA,NA,NA,4,NA,NA,2,English,NA,NA,3,Durham,NC,27712,NA,N,-78955000,36089000
310,NA,NA,1,4,1,2,4,1,1,1,2,2,1,NA,1,5,3,2,1,1,2,1,1,1,1,2,15,2,1,2,NA,NA,NA,NA,5,PUERTO RICAN,1,Spanish,NA,NA,3,Durham,NC,27705,2,Y,-78926000,36062000
311,4,4,4,4,4,4,4,4,2,1,2,4,4,NA,4,4,4,4,4,4,3,3,4,4,4,2,10,1,1,1,NA,2,NA,NA,NA,NA,2,English,NA,NA,4,Durham,NC,27704,2,Y,-78903000,36022000
